Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
225110,22308602.0,135,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE COMERCIO 738,Arequipa / Islay / Mollendo,118.0,6.0,6.0,"-17.0195,-72.0119"
225359,25270266.0,LAS CRUCES,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE ESPINAR 227,Arequipa / Islay / Mollendo,50.0,3.0,3.0,"-17.0191,-72.0101"
225367,22297481.0,VILLA LOURDES,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE ROBERT KENNEDY S/N,Arequipa / Islay / Mollendo,24.0,2.0,3.0,"-17.0278,-72.0189"
307389,26767245.0,SAN FRANCISCO DE ASIS,Primaria,Privada,Comunidad o asociación religiosa,HORTENCIA PARDO,Arequipa / Islay / Mollendo,171.0,13.0,10.0,"-17.0198,-72.0177"
307397,24631151.0,MARIA AUXILIADORA,Primaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,Arequipa / Islay / Mollendo,53.0,10.0,6.0,"-17.0281,-72.0140"
309195,22306626.0,DEAN VALDIVIA,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA MARISCAL CASTILLA 1001,Arequipa / Islay / Mollendo,603.0,37.0,22.0,"-17.0248,-72.0177"
309328,26689457.0,SAN VICENTE DE PAUL,Secundaria,Pública de gestión privada,Convenio con Sector Educación,CALLE COMERCIO 1014,Arequipa / Islay / Mollendo,344.0,31.0,16.0,"-17.0191,-72.0113"
309922,26767245.0,SAN FRANCISCO DE ASIS,Secundaria,Privada,Comunidad o asociación religiosa,HORTENCIA PARDO,Arequipa / Islay / Mollendo,246.0,18.0,9.0,"-17.0206,-72.0132"
310045,24631151.0,MARIA AUXILIADORA,Secundaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,Arequipa / Islay / Mollendo,83.0,9.0,5.0,"-17.0182,-72.0142"
313528,24580571.0,40472 CARLOS M. FEBRES,Primaria,Pública de gestión directa,Sector Educación,CALLE TEOFILO NUÑEZ 201,Arequipa / Islay / Mollendo,405.0,18.0,14.0,"-17.0263,-72.0107"
313536,22283855.0,40473 JOSE EMILIO PACHECO ANTEZANA,Primaria,Pública de gestión directa,Sector Educación,CALLE PUNO 347,Arequipa / Islay / Mollendo,249.0,13.0,10.0,"-17.0250,-72.0109"
313544,24373411.0,40474 JOSE CARLOS MARIATEGUI,Primaria,Pública de gestión directa,Sector Educación,AVENIDA INDEPENDENCIA S/N,Arequipa / Islay / Mollendo,232.0,16.0,12.0,"-17.0265,-72.0152"
313569,24580407.0,40476 MERCEDES MANRIQUE FUENTES,Primaria,Pública de gestión directa,Sector Educación,MZ F-G,Arequipa / Islay / Mollendo,164.0,8.0,7.0,"-17.0235,-72.0150"
313577,22283774.0,40477 HILDA CANDIOTTI DE BORGER,Primaria,Pública de gestión directa,Sector Educación,CALLE IQUITOS 363,Arequipa / Islay / Mollendo,50.0,7.0,6.0,"-17.0269,-72.0195"
485375,22297716.0,SEÑOR DE LA DIVINA MISERICORDIA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE FRANCISCO BOLOGNESI 505,Arequipa / Islay / Mollendo,42.0,4.0,4.0,"-17.0221,-72.0138"
610667,22306626.0,DEAN VALDIVIA,Básica Alternativa - Inicial e Intermedio,Pública de gestión directa,Sector Educación,AVENIDA MARISCAL CASTILLA 1001,Arequipa / Islay / Mollendo,32.0,2.0,4.0,"-17.0232,-72.0177"
617506,22404067.0,40492 DANIEL ALCIDES CARRION,Primaria,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,Arequipa / Islay / Mollendo,195.0,10.0,8.0,"-17.0210,-72.0132"
617530,24373411.0,40474 JOSE CARLOS MARIATEGUI,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA INDEPENDENCIA S/N,Arequipa / Islay / Mollendo,272.0,26.0,13.0,"-17.0193,-72.0171"
