codigo_modular,codigo_de_institucion,nombre_de_ie,nivel_modalidad,tipo_de_gestion,dependencia,direccion_de_ie,alumnos,docentes,secciones,geolocation,departamento,provincia,distrito
225110,22308602.0,135,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE COMERCIO 738,118.0,6.0,6.0,"-17.0195,-72.0119",Arequipa,Islay,Mollendo
225359,25270266.0,LAS CRUCES,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE ESPINAR 227,50.0,3.0,3.0,"-17.0191,-72.0101",Arequipa,Islay,Mollendo
225367,22297481.0,VILLA LOURDES,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE ROBERT KENNEDY S/N,24.0,2.0,3.0,"-17.0278,-72.0189",Arequipa,Islay,Mollendo
307389,26767245.0,SAN FRANCISCO DE ASIS,Primaria,Privada,Comunidad o asociación religiosa,HORTENCIA PARDO,171.0,13.0,10.0,"-17.0198,-72.0177",Arequipa,Islay,Mollendo
307397,24631151.0,MARIA AUXILIADORA,Primaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,53.0,10.0,6.0,"-17.0281,-72.0140",Arequipa,Islay,Mollendo
309195,22306626.0,DEAN VALDIVIA,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA MARISCAL CASTILLA 1001,603.0,37.0,22.0,"-17.0248,-72.0177",Arequipa,Islay,Mollendo
309328,26689457.0,SAN VICENTE DE PAUL,Secundaria,Pública de gestión privada,Convenio con Sector Educación,CALLE COMERCIO 1014,344.0,31.0,16.0,"-17.0191,-72.0113",Arequipa,Islay,Mollendo
309922,26767245.0,SAN FRANCISCO DE ASIS,Secundaria,Privada,Comunidad o asociación religiosa,HORTENCIA PARDO,246.0,18.0,9.0,"-17.0206,-72.0132",Arequipa,Islay,Mollendo
310045,24631151.0,MARIA AUXILIADORA,Secundaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,83.0,9.0,5.0,"-17.0182,-72.0142",Arequipa,Islay,Mollendo
313528,24580571.0,40472 CARLOS M. FEBRES,Primaria,Pública de gestión directa,Sector Educación,CALLE TEOFILO NUÑEZ 201,405.0,18.0,14.0,"-17.0263,-72.0107",Arequipa,Islay,Mollendo
313536,22283855.0,40473 JOSE EMILIO PACHECO ANTEZANA,Primaria,Pública de gestión directa,Sector Educación,CALLE PUNO 347,249.0,13.0,10.0,"-17.0250,-72.0109",Arequipa,Islay,Mollendo
313544,24373411.0,40474 JOSE CARLOS MARIATEGUI,Primaria,Pública de gestión directa,Sector Educación,AVENIDA INDEPENDENCIA S/N,232.0,16.0,12.0,"-17.0265,-72.0152",Arequipa,Islay,Mollendo
313569,24580407.0,40476 MERCEDES MANRIQUE FUENTES,Primaria,Pública de gestión directa,Sector Educación,MZ F-G,164.0,8.0,7.0,"-17.0235,-72.0150",Arequipa,Islay,Mollendo
313577,22283774.0,40477 HILDA CANDIOTTI DE BORGER,Primaria,Pública de gestión directa,Sector Educación,CALLE IQUITOS 363,50.0,7.0,6.0,"-17.0269,-72.0195",Arequipa,Islay,Mollendo
485375,22297716.0,SEÑOR DE LA DIVINA MISERICORDIA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE FRANCISCO BOLOGNESI 505,42.0,4.0,4.0,"-17.0221,-72.0138",Arequipa,Islay,Mollendo
610667,22306626.0,DEAN VALDIVIA,Básica Alternativa - Inicial e Intermedio,Pública de gestión directa,Sector Educación,AVENIDA MARISCAL CASTILLA 1001,32.0,2.0,4.0,"-17.0232,-72.0177",Arequipa,Islay,Mollendo
617506,22404067.0,40492 DANIEL ALCIDES CARRION,Primaria,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,195.0,10.0,8.0,"-17.0210,-72.0132",Arequipa,Islay,Mollendo
617530,24373411.0,40474 JOSE CARLOS MARIATEGUI,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA INDEPENDENCIA S/N,272.0,26.0,13.0,"-17.0193,-72.0171",Arequipa,Islay,Mollendo
634279,24580571.0,40472 CARLOS M. FEBRES,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE TEOFILO NUÑEZ 201,72.0,3.0,3.0,"-17.0239,-72.0100",Arequipa,Islay,Mollendo
637330,23532174.0,MOLLENDO,Básica Especial - Primaria,Pública de gestión directa,Sector Educación,CALLE PUNO 710,40.0,7.0,8.0,"-17.0200,-72.0168",Arequipa,Islay,Mollendo
770040,24991431.0,41050 DIVINO MAESTRO,Primaria,Pública de gestión directa,Sector Educación,AVENIDA 30 DE AGOSTO S/N,89.0,7.0,6.0,"-17.0240,-72.0191",Arequipa,Islay,Mollendo
891028,24512355.0,MI CARRUSEL,Inicial - Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 436,56.0,3.0,3.0,"-17.0209,-72.0185",Arequipa,Islay,Mollendo
891119,23533243.0,SEÑOR DE LOS MILAGROS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE 6 Y AV. PRINCIPAL S/N SECTOR ALTO BELLAVISTA PUEBLO JOVEN,68.0,4.0,4.0,"-17.0266,-72.0155",Arequipa,Islay,Mollendo
891614,26268028.0,JAIMITO,Inicial - Cuna Jardín,Privada,Particular,CALLE IQUITOS 670,133.0,7.0,7.0,"-17.0268,-72.0131",Arequipa,Islay,Mollendo
891762,24580407.0,40476 MERCEDES MANRIQUE FUENTES,Secundaria,Pública de gestión directa,Sector Educación,MZ F-G,208.0,20.0,9.0,"-17.0265,-72.0120",Arequipa,Islay,Mollendo
1188200,26784727.0,SAN VICENTE DE PAUL,Primaria,Privada,Comunidad o asociación religiosa,CALLE COMERCIO 1014,341.0,15.0,12.0,"-17.0198,-72.0158",Arequipa,Islay,Mollendo
1203561,22307878.0,40681 FRAY MARTIN,Primaria,Pública de gestión directa,Sector Educación,CALLE AVIS BELLAVISTA S/N,174.0,7.0,6.0,"-17.0271,-72.0134",Arequipa,Islay,Mollendo
1239243,24630404.0,CIENCIAS ITALO PERUANO ENRICO FERMI,Secundaria,Privada,Particular,MZ F LOTE 2,131.0,8.0,6.0,"-17.0232,-72.0112",Arequipa,Islay,Mollendo
